FI	theta
19	139.786645
7	153.273195
21	139.004087
4	156.471887
6	155.605687
19	139.657824
1	161.705762
11	149.085428
12	147.517944
18	141.475091
21	136.676131
5	155.364503
24	135.997909
23	136.573983
9	149.321262
18	139.406494
7	152.722243
4	156.281360
11	149.654691
1	160.048962
1	163.674185
23	136.750945
20	138.819232
10	149.225382
17	143.085934
12	146.665740
9	149.376810
9	150.812181
1	161.095227
10	148.992340
4	155.689946
20	138.366116
21	138.261937
23	135.231761
22	135.714295
24	135.999219
4	156.981071
22	137.751574
3	157.627711
9	148.718314
5	153.647228
19	138.850790
18	141.776690
8	150.572009
20	139.489893
7	153.502003
24	135.628743
10	148.083250
12	148.102238
20	138.806851
5	155.448260
20	139.058685
12	147.667782
11	149.127273
12	148.077465
10	149.181281
17	140.669204
7	152.664972
22	137.279316
22	135.902711
22	138.210963
6	155.599129
1	163.070321
17	140.542200
22	136.435455
9	149.283949
22	137.668074
11	149.015784
19	139.986851
12	148.473214
21	137.160576
11	147.291612
1	160.033149
4	156.010280
3	159.494545
24	135.512430
11	149.016759
1	159.833396
3	157.441114
2	158.975865
3	157.492384
21	137.115360
9	151.559256
7	151.146090
6	154.164703
6	152.852519
20	139.654502
8	151.242221
9	150.667885
17	142.281814
2	160.872405
20	137.731978
5	154.763929
12	146.190411
12	146.541350
23	136.645683
10	148.651049
23	135.423346
18	140.876886
11	148.214397
19	138.547921
8	150.253518
8	150.584899
5	154.664681
12	146.018885
19	139.570986
1	160.622814
23	135.614250
21	138.789284
3	158.992382
9	150.646005
11	149.838070
8	151.721695
23	136.447981
19	140.283025
8	152.995267
4	157.951006
3	159.889555
6	155.253240
2	159.146675
23	135.768981
19	139.761139
9	149.826333
20	138.159686
21	136.999266
20	138.737313
8	151.566389
3	159.663478
11	149.281919
24	134.311467
6	156.264180
11	148.869172
9	149.290277
21	138.271593
4	155.667038
24	135.026926
4	157.617878
5	154.729689
18	139.116969
8	152.307778
8	151.363365
9	149.300422
21	138.514811
22	137.064551
11	147.493138
7	151.855543
22	137.004775
23	136.611801
12	147.726155
5	154.629488
18	139.613098
21	137.853044
1	161.941327
9	151.125491
6	152.747671
9	149.356455
17	141.811688
12	147.123581
24	134.307864
3	159.372468
3	159.025555
17	141.231438
24	135.095280
20	139.287593
6	155.191379
5	155.763346
9	151.690430
22	137.222587
17	141.515520
11	149.441448
20	138.635608
6	155.750887
19	140.223302
18	140.525136
24	136.322283
10	147.941067
17	142.173891
11	147.577215
22	137.556995
23	136.268137
4	158.333464
10	150.285708
23	136.596303
18	139.997013
21	138.854848
6	153.828297
7	151.568528
6	155.253269
12	145.828704
20	137.365680
20	138.073744
9	152.094859
18	140.991008
6	153.225831
2	157.816500
21	137.658383
10	150.840010
22	137.364022
24	135.920495
23	136.288278
10	148.429530
1	161.746800
22	135.525903
4	157.898164
12	145.345902
9	148.851621
20	137.566730
18	139.356233
20	137.855532
24	135.071178
10	149.902694
7	153.277143
24	134.874038
22	135.566221
5	157.241069
4	156.273980
6	155.238566
21	137.640249
2	160.692403
18	139.549119
12	147.875947
22	137.011062
8	151.063478
22	137.750235
